query,mode,TP,FP,FN,precision,recall,F1,timeMs
John,exact,10,0,0,1.000,1.000,1.000,7558.30
John,fuzzy,10,0,0,1.000,1.000,1.000,5027.63
John,all,10,0,0,1.000,1.000,1.000,1516.33
CSC,exact,5,5,5,0.500,0.500,0.500,446.81
CSC,fuzzy,0,0,10,0.000,0.000,0.000,3145.81
CSC,all,5,5,5,0.500,0.500,0.500,2878.06
Mathematics,exact,2,0,0,1.000,1.000,1.000,866.70
Mathematics,fuzzy,2,0,0,1.000,1.000,1.000,1389.85
Mathematics,all,2,0,0,1.000,1.000,1.000,2443.35
Transcript,exact,0,0,0,0.000,0.000,0.000,448.67
Transcript,fuzzy,0,0,0,0.000,0.000,0.000,5937.62
Transcript,all,0,0,0,0.000,0.000,0.000,1932.29
Assignment,exact,5,5,5,0.500,0.500,0.500,1075.54
Assignment,fuzzy,1,2,9,0.333,0.100,0.154,2314.78
Assignment,all,5,5,5,0.500,0.500,0.500,3862.77
Computer,exact,2,0,0,1.000,1.000,1.000,712.46
Computer,fuzzy,2,0,0,1.000,1.000,1.000,1807.31
Computer,all,2,0,0,1.000,1.000,1.000,1420.89
databse,exact,0,0,1,0.000,0.000,0.000,1138.27
databse,fuzzy,0,0,1,0.000,0.000,0.000,972.50
databse,all,0,0,1,0.000,0.000,0.000,942.36
phyics,exact,0,0,0,0.000,0.000,0.000,251.12
phyics,fuzzy,0,0,0,0.000,0.000,0.000,959.46
phyics,all,0,0,0,0.000,0.000,0.000,961.50
Result,exact,0,0,0,0.000,0.000,0.000,252.21
Result,fuzzy,0,0,0,0.000,0.000,0.000,962.82
Result,all,0,0,0,0.000,0.000,0.000,1040.23
Lecture,exact,5,5,5,0.500,0.500,0.500,659.04
Lecture,fuzzy,0,1,10,0.000,0.000,0.000,1884.55
Lecture,all,5,5,5,0.500,0.500,0.500,2415.01
